English,Chinese,Audio_UK,Audio_US,Example_EN,Example_ZH,Level,Topic,Source
question,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
rabbit,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
railway,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
rain,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
read,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
red,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
restaurant,,,,,,易错（tricky）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
rice,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
Richard,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
ride,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
right,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
river,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
road,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
Robert,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
room,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
rug,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
run,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
sad,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
salt,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
sandwich,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
Sarah,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Saturday,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
sausage,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
say,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
school,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
scissors,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
sea,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
see,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
