word,phrase_type,level,official_write,training_include,write_priority,level_label,topic,pos,special_type,source
platform,word,A2 Flyers,no,yes,extended,扩展（extended）,places,mixed,,Cambridge 2025 PDF
pleased,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
pocket,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
police officer,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,people,phrase,,Cambridge 2025 PDF
police station,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,places,phrase,,Cambridge 2025 PDF
pond,word,A2 Flyers,no,yes,core,核心（core）,nature_animals,mixed,,Cambridge 2025 PDF
poor,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
pop music,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,school_fun,phrase,,Cambridge 2025 PDF
popular,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
post,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
post office,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,places,phrase,,Cambridge 2025 PDF
postcard,word,A2 Flyers,no,no,extended,扩展（extended）,travel,mixed,,Cambridge 2025 PDF
prefer,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
prepare,word,A2 Flyers,no,no,extended,扩展（extended）,general,verb,,Cambridge 2025 PDF
prize,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
problem,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
programme (US program),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,home_objects,phrase,,Cambridge 2025 PDF
project,word,A2 Flyers,no,no,extended,扩展（extended）,school_fun,mixed,,Cambridge 2025 PDF
pull,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
push,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
puzzle,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
pyjamas (US pajamas),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
pyramid,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
quarter,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,time,Cambridge 2025 PDF
queen,word,A2 Flyers,no,yes,core,核心（core）,people,mixed,,Cambridge 2025 PDF
quite,word,A2 Flyers,no,yes,core,核心（core）,general,adverb,,Cambridge 2025 PDF
quiz,word,A2 Flyers,no,yes,core,核心（core）,school_fun,mixed,,Cambridge 2025 PDF
race,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
racing (car; bike),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
railway,word,A2 Flyers,no,yes,extended,扩展（extended）,places,mixed,,Cambridge 2025 PDF
ready,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
remember,word,A2 Flyers,no,no,extended,扩展（extended）,general,verb,,Cambridge 2025 PDF
repair,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
repeat,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
restaurant,word,A2 Flyers,no,yes,tricky,易错（tricky）,places,mixed,,Cambridge 2025 PDF
rich,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
Richard,word,A2 Flyers,yes,yes,must_write,必写（must_write）,people,mixed,name,Cambridge 2025 PDF
right,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
right (as in direction),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
ring,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
Robert,word,A2 Flyers,yes,yes,must_write,必写（must_write）,people,mixed,name,Cambridge 2025 PDF
rock music,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,school_fun,phrase,,Cambridge 2025 PDF
rocket,word,A2 Flyers,no,yes,core,核心（core）,travel,mixed,,Cambridge 2025 PDF
rucksack (US backpack),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,travel,phrase,,Cambridge 2025 PDF
salt,word,A2 Flyers,no,yes,core,核心（core）,food,mixed,,Cambridge 2025 PDF
same,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
Sarah,word,A2 Flyers,yes,yes,must_write,必写（must_write）,people,mixed,name,Cambridge 2025 PDF
save,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
science,word,A2 Flyers,no,no,extended,扩展（extended）,school_fun,mixed,,Cambridge 2025 PDF
scissors,word,A2 Flyers,no,no,extended,扩展（extended）,home_objects,mixed,,Cambridge 2025 PDF
score,word,A2 Flyers,no,yes,core,核心（core）,school_fun,mixed,,Cambridge 2025 PDF
screen,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
search,word,A2 Flyers,no,yes,core,核心（core）,school_fun,verb,,Cambridge 2025 PDF
secret,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
sell,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
September,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,month,Cambridge 2025 PDF
several,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
shampoo,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
shelf,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
should,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
silver,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
since,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
singer,word,A2 Flyers,no,yes,core,核心（core）,people,mixed,,Cambridge 2025 PDF
ski,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
A2 Flyers A–Z wordlist ﻿ ﻿ skyscraper,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
sledge,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
